Annee_imposition,Genre,Age,Avec_Conjoint,Region_administrative,Nombre_de_particuliers,Credit_moyen
2014,Masculin,Moins de 30 ans,TRUE,01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine,245,1461.581
2014,Masculin,Moins de 30 ans,TRUE,02 - Saguenay - Lac-Saint-Jean,358,1411.501
2014,Masculin,Moins de 30 ans,TRUE,03 - Capitale-Nationale,725,2106.387
2014,Masculin,Moins de 30 ans,TRUE,04 - Mauricie,249,1210.124
2014,Masculin,Moins de 30 ans,TRUE,05 - Estrie,415,1165.557
2014,Masculin,Moins de 30 ans,TRUE,06 - Montréal,948,2688.145
2014,Masculin,Moins de 30 ans,TRUE,07 - Outaouais,371,1613.517
2014,Masculin,Moins de 30 ans,TRUE,08 - Abitibi-Témiscamingue,253,1159.53
2014,Masculin,Moins de 30 ans,TRUE,09+10 - Côte-Nord +Nord-du-Québec,141,1181.93
2014,Masculin,Moins de 30 ans,TRUE,12 - Chaudière-Appalaches,527,1321.711
2014,Masculin,Moins de 30 ans,TRUE,13 - Laval,212,2156.059
2014,Masculin,Moins de 30 ans,TRUE,14 - Lanaudière,682,1438.542
2014,Masculin,Moins de 30 ans,TRUE,15 - Laurentides,709,1510.071
2014,Masculin,Moins de 30 ans,TRUE,16 - Montérégie,1570,1639.049
2014,Masculin,Moins de 30 ans,TRUE,17 - Centre-du-Québec,384,1395.718
2014,Masculin,Moins de 30 ans,FALSE,01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine,45,1054.018
2014,Masculin,Moins de 30 ans,FALSE,02 - Saguenay - Lac-Saint-Jean,33,1443.694
2014,Masculin,Moins de 30 ans,FALSE,03 - Capitale-Nationale,127,1853.351
2014,Masculin,Moins de 30 ans,FALSE,04 - Mauricie,54,1466.908
2014,Masculin,Moins de 30 ans,FALSE,05 - Estrie,78,1718.543
2014,Masculin,Moins de 30 ans,FALSE,06 - Montréal,160,2379.229
2014,Masculin,Moins de 30 ans,FALSE,07 - Outaouais,76,1999.934
2014,Masculin,Moins de 30 ans,FALSE,08 - Abitibi-Témiscamingue,43,1256.756
2014,Masculin,Moins de 30 ans,FALSE,09+10 - Côte-Nord +Nord-du-Québec,28,1185.603
2014,Masculin,Moins de 30 ans,FALSE,12 - Chaudière-Appalaches,73,1664.146
2014,Masculin,Moins de 30 ans,FALSE,13 - Laval,42,1958.39
2014,Masculin,Moins de 30 ans,FALSE,14 - Lanaudière,122,1566.701
2014,Masculin,Moins de 30 ans,FALSE,15 - Laurentides,102,1705.905
2014,Masculin,Moins de 30 ans,FALSE,16 - Montérégie,251,2120.127
2014,Masculin,Moins de 30 ans,FALSE,17 - Centre-du-Québec,70,1142.864
2014,Masculin,30 à 34 ans,TRUE,01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine,737,1135.129
2014,Masculin,30 à 34 ans,TRUE,02 - Saguenay - Lac-Saint-Jean,972,1144.632
2014,Masculin,30 à 34 ans,TRUE,03 - Capitale-Nationale,2518,1898.209
2014,Masculin,30 à 34 ans,TRUE,04 - Mauricie,838,1151.064
2014,Masculin,30 à 34 ans,TRUE,05 - Estrie,1212,1097.413
2014,Masculin,30 à 34 ans,TRUE,06 - Montréal,4816,2150.512
2014,Masculin,30 à 34 ans,TRUE,07 - Outaouais,1198,1525.397
2014,Masculin,30 à 34 ans,TRUE,08 - Abitibi-Témiscamingue,631,747.774
2014,Masculin,30 à 34 ans,TRUE,09+10 - Côte-Nord +Nord-du-Québec,345,909.265
2014,Masculin,30 à 34 ans,TRUE,12 - Chaudière-Appalaches,1727,1215.201
2014,Masculin,30 à 34 ans,TRUE,13 - Laval,1152,1824.041
2014,Masculin,30 à 34 ans,TRUE,14 - Lanaudière,2132,1263.396
2014,Masculin,30 à 34 ans,TRUE,15 - Laurentides,2229,1222.384
2014,Masculin,30 à 34 ans,TRUE,16 - Montérégie,5618,1338.846
2014,Masculin,30 à 34 ans,TRUE,17 - Centre-du-Québec,1010,1151.468
2014,Masculin,30 à 34 ans,FALSE,01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine,106,1054.24
2014,Masculin,30 à 34 ans,FALSE,02 - Saguenay - Lac-Saint-Jean,116,1283.826
2014,Masculin,30 à 34 ans,FALSE,03 - Capitale-Nationale,343,1327.633
2014,Masculin,30 à 34 ans,FALSE,04 - Mauricie,122,925.862
2014,Masculin,30 à 34 ans,FALSE,05 - Estrie,219,813.607
2014,Masculin,30 à 34 ans,FALSE,06 - Montréal,376,1881.814
2014,Masculin,30 à 34 ans,FALSE,07 - Outaouais,178,1238.399
2014,Masculin,30 à 34 ans,FALSE,08 - Abitibi-Témiscamingue,100,721.938
2014,Masculin,30 à 34 ans,FALSE,09+10 - Côte-Nord +Nord-du-Québec,57,941.612
2014,Masculin,30 à 34 ans,FALSE,12 - Chaudière-Appalaches,230,1053.7
2014,Masculin,30 à 34 ans,FALSE,13 - Laval,114,1397.674
2014,Masculin,30 à 34 ans,FALSE,14 - Lanaudière,282,1108.675
2014,Masculin,30 à 34 ans,FALSE,15 - Laurentides,311,981.574
2014,Masculin,30 à 34 ans,FALSE,16 - Montérégie,689,1183.139
2014,Masculin,30 à 34 ans,FALSE,17 - Centre-du-Québec,176,999.197
2014,Masculin,35 à 39 ans,TRUE,01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine,1160,845.241
2014,Masculin,35 à 39 ans,TRUE,02 - Saguenay - Lac-Saint-Jean,1437,731.443
2014,Masculin,35 à 39 ans,TRUE,03 - Capitale-Nationale,4416,1244.489
2014,Masculin,35 à 39 ans,TRUE,04 - Mauricie,1316,772.709
2014,Masculin,35 à 39 ans,TRUE,05 - Estrie,1940,720.488
2014,Masculin,35 à 39 ans,TRUE,06 - Montréal,10425,1753.396
2014,Masculin,35 à 39 ans,TRUE,07 - Outaouais,2190,1212.636
2014,Masculin,35 à 39 ans,TRUE,08 - Abitibi-Témiscamingue,896,579.654
2014,Masculin,35 à 39 ans,TRUE,09+10 - Côte-Nord +Nord-du-Québec,415,551.973
2014,Masculin,35 à 39 ans,TRUE,12 - Chaudière-Appalaches,2988,892.396
2014,Masculin,35 à 39 ans,TRUE,13 - Laval,2981,1261.533
2014,Masculin,35 à 39 ans,TRUE,14 - Lanaudière,3650,781.438
2014,Masculin,35 à 39 ans,TRUE,15 - Laurentides,3980,836.373
2014,Masculin,35 à 39 ans,TRUE,16 - Montérégie,10375,962.602
2014,Masculin,35 à 39 ans,TRUE,17 - Centre-du-Québec,1580,823.191
2014,Masculin,35 à 39 ans,FALSE,01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine,154,712.104
2014,Masculin,35 à 39 ans,FALSE,02 - Saguenay - Lac-Saint-Jean,159,813.57
2014,Masculin,35 à 39 ans,FALSE,03 - Capitale-Nationale,658,841.316
2014,Masculin,35 à 39 ans,FALSE,04 - Mauricie,189,447.299
2014,Masculin,35 à 39 ans,FALSE,05 - Estrie,332,454.78
2014,Masculin,35 à 39 ans,FALSE,06 - Montréal,762,1279.247
2014,Masculin,35 à 39 ans,FALSE,07 - Outaouais,294,790.843
2014,Masculin,35 à 39 ans,FALSE,08 - Abitibi-Témiscamingue,148,446.04
2014,Masculin,35 à 39 ans,FALSE,09+10 - Côte-Nord +Nord-du-Québec,73,1180.958
2014,Masculin,35 à 39 ans,FALSE,12 - Chaudière-Appalaches,398,600.458
